,ENSG00000186260,ENSG00000231880,ENSG00000260238,ENSG00000258048,ENSG00000233328,ENSG00000257921,ENSG00000236876,ENSG00000215837,ENSG00000236285,ENSG00000247809,ENSG00000262526,ENSG00000263647,ENSG00000270983,ENSG00000069020,ENSG00000202058,ENSG00000272220,ENSG00000223551,ENSG00000235354,ENSG00000203618
TCGA-44-6147-01A-11R-1755-07 (True Low Risk),26.3599,0.0,0.0769,0.0,2.9274,0.0,4.013,0.0,0.0925,0.4863,0.0,0.0,1.3779,10.9961,2.1878,0.0,6.8879,3.1682,0.0
TCGA-49-4490-01A-21R-1858-07 (True High Risk),16.5245,0.0,0.0,0.0,8.5733,0.0,32.9288,0.0,0.2795,0.2896,0.0,0.0,0.6943,6.0425,1.6535,0.0,60.9528,0.0,0.0
TCGA-97-8177-01A-11R-2287-07 (True Partial Risk),9.6575,0.0,0.0,0.1254,5.7704,0.0,13.4782,0.0,0.2121,0.3254,0.0,0.0,0.9218,11.8003,2.1955,0.0,14.7214,2.8548,0.0
